Basvuru Tarihi	Baþvuru Numarasý	Buluþ Baþlýðý	Buluþ Sahibi	Proje Kodu	Proje Ýsmi	Ýlgili olduðu Ürün&Servisler	Özet
2007	2007/08505	Bir GSM Trafik Yönetim Sistemi	Ulaþ Karakoç - Ýsmail Özkan				Bu buluþ, GSM  þebekelerinde yapýlan yurtdýþý çaðrýlarýnýn operatör firma tarafýndan belirlenen ölçütlere göre, uzak mesafe taþýyýcýlýk hizmeti veren operatörlere yönlendirilmesi ile ilgilidir.
							
2008	2008/05884	Bir Sim Kart Personalizasyon Sistemi	Alp Sardað				Bu buluþ, SIM kart bilgilerinin abonenin baþvurusu anýnda telefon numarasýnýn (MSISDN) ait olduðu HLR üzerindeki boþ bir IMSI ile deðiþtirilebilen böylece GSM operatörlerinin SIM kart stoku tutma seviyelerini azaltan ve daha verimli, güvenli ve hýzlý hizmet sunan bir SIM kart personalizasyon sistemi ile ilgilidir.
2008	2008/09212	Bir Reklam Ýletme Yöntemi	Can Hüzmeli				Bu buluþ, önceden belirlenen reklam içeriðine göre kullanýcýya iletilen reklamýn içine aksiyonlarýn gömülmesi ve kullanýcýnýn kendisine iletilen reklama týklamasýyla önceden belirlenen SMS gönderme, çaðrý baþlatma, URL yönlendirme, video oynatma, ses çalma gibi aksiyonlarýn gerçekleþtirildiði bir reklam iletme yöntemi ile ilgilidir.
2008	2008/10014	Bir Görüntülü Çaðrý Aktarma Sistemi	Mehmet Emin Özgül				Bu buluþ, çaðrý baþlatan bir terminal-A, çaðrýlarýn aktarýldýðý en az bir terminal-B ve terminal-C, çaðrýlarýn iletilmesini saðlayan bir 3N þebekesi ve terminaller arasýnda geçici ortam/veri yolu kurulmasýný saðlayan en az bir baðdaþtýrýcý içeren ve kurulmuþ olan H.324m görüntülü çaðrýlarýn baþka bir H.324m terminaline veya interaktif sistemine aktarýlabilmesini saðlayan bir sistem ile ilglidir.
2008	2008/10016	Bir Hatalý Dolaþým Önleme Sistemi	Bahri Okuroðlu				Bu buluþ, abone konum ve durum tespit birimi, komþu ülke sýnýr bölgesi izleme birimi, komþu ülke sýnýr bölgesi tespit birimi ve dolaþým izleme ve müdahale birimi içeren, abone terminalinin hizmet almak istediði ziyaretçi konum kütüðünün, komþu ülke sýnýr bölgesinde yer almasý, abone terminalinin son konumunun yerel þebekenin sýnýr bölgesinde yer almasý ve abone terminalinin son durumunun, telefonun açýk olduðunu göstermesi durumunda abone terminalinin komþu ülke operatörlerinden yanlýþ hizmet alma olasýlýðýnýn olduðunu belirleyen ve oluþan bir sistem ile ilgilidir.
2008	2008/10015	Bir Hatalý Dolaþým Önleme ve Düzeltme Sistemi	Bahri Okuroðlu				Bu buluþ, ana þebekedeki anlýk sorunlar veya þebeke karýþmasý nedeniyle ülke sýnýrlarýnda GSM aboneleri komþu ülke operatörlerinden servis aldýklarýnda ana þebekeyi takip ederek yerel þebekedeki sorunlar giderildiðinde aboneleri otomatik olarak yerel þebekeye geri döndüren bir sistem ile ilgilidir.
2008	2008/10093	Görüntülü Çaðrý Ýle Otomatik Satýþ Makineleri Ýçin Haberleþme Yöntemi	Mehmet Emin Özgül				Bu buluþ, görüntülü çaðrý baþlatýlarak otomatik satýþ makinesinden güvenli ve hýzlý alýþveriþ yapýlmasýný mekine kimlik numarasýnýn görüntülü çaðrý ile belirlenerek saðlayan bir haberleþme yöntemi ile ilgilidir.
2008	2008/10095	Sesli Yanýt Sistemlerinin Görüntülü Çaðrýlar Ýle Birleþtirilmesi Yöntemi	Mehmet Emin Özgül				Bu buluþ, sesli yanýt sistemlerinde mümkün olan en az deðiþikliðin yapýlarak sesli yanýt sistemlerinin görüntülü çaðrýlar ile birleþtirilmesi yöntemi ile ilgilidir. 
2008	2008/10096	Bir Konferans Kontrol Sistemi	Mehmet Emin Özgül				Bu buluþ, konferans sahibinin ortam deðerleri kümesini seçebilmesine izin veren, konferans sahibinin üye seçimi, üyelerin kontrol ve öncelik seçimi, konferansýn baþlama tarihi ve katýlým þifresi ve ortam deðerleri kümesini seçmesini ve konferansýn baþlama tarihi ve konferansýn baþlama tarihi ve saati, adresi ve þifresinin terminallere SMS, e-mail veya ses/görüntü çaðrýsý gibi yöntemlerle bildirilmesini saðlayan, aktif konuþmacýnýn terminallerden gelen ses düzeyi/enerjisine ve öncelik seviyelerine göre seçilmelerini ve terminaller ile konferans kontrol birimi arasýndaki veri iletimini saðlayan bir sistem ile ilgilidir.
